MSOA code,MSOA name,affordability_ratio,pct_65_plus,population_total
E02004243,Alderholt & Sixpenny Handley,12.644784911217467,28.103767757875232,6476
E02004244,East Verwood,11.044716943728584,28.56581017304667,7628
E02004245,West Verwood,11.837670980714226,27.49105774144098,7828
E02004246,St Leonards,19.15833592931381,39.54517516902274,8135
E02004247,Sturminster Marshall & Crichel,15.859080739712835,29.952153110047846,6270
E02004248,West Moors,10.832318540964572,43.87543252595156,7225
E02004249,Colehill,14.01829458242474,27.89537345025703,6614
E02004250,Ferndown Town,10.97391747614058,38.64419762543087,7833
E02004251,Ferndown West & Canford Bottom,10.761519073376569,32.39106668749024,6403
E02004252,Wimborne Minster,9.565008071139305,26.95829094608342,8847
E02004253,Parley & Hampreston,13.45189884172071,38.390896386504295,10018
E02004254,Corfe Mullen,11.044716943728584,25.201197828935054,10686
E02004255,Gillingham,6.938347823624366,30.065104166666668,7680
E02004256,"Gillingham Outer, Bourton & Motcombe",9.203930786440486,28.811777076761302,9510
E02004257,Shaftesbury,7.292345161564385,24.518053040792417,9389
E02004258,Sturminster Newton & Stalbridge,8.963212596641274,32.74116347569956,10864
E02004259,Child Okeford & Iwerne Minster,12.007589702925436,33.02101078932425,7044
E02004260,Blandford Outer & Tarrants,11.611112684432612,22.17087697679195,9738
E02004261,Blandford Forum Town,7.363144629152389,25.4991011448576,10569
E02004262,"Milborne, Winterborne & Okeford Fitzpaine",11.54031321684461,30.59268600252207,7930
E02004263,Bere Regis & Lytchett Matravers,11.75271161960862,28.50106714825152,6091
E02004264,Upton & Lytchett Minster,9.501288550310102,25.579271772628694,8761
E02004265,"Wareham, Sandford & Holton Heath",10.42168162895415,32.73740422567913,8614
E02004266,"Bovington, Wool & Lulworth",9.770326527144515,21.506941334527543,8932
E02004267,Corfe Castle & Langton Matravers,13.310299906544705,37.06896551724138,5104
E02004268,Swanage,9.910509472968764,37.3924131335671,9411
E02004269,Sherborne,9.232250573475689,33.33028445989207,10933
E02004270,"Yetminster, Bradford Abbas & Longburton",11.257115346492592,33.09050500061736,8099
E02004271,"Beaminster, Maiden Newton & Halstock",9.911925462320523,34.747751271020725,10228
E02004272,"Charlton Down, Cerne Abbas & Puddletown",9.773866500523916,29.927467675812046,12684
E02004273,"Lyme Regis, Charmouth & Marshwood Vale",15.590042762878424,40.85592011412268,7010
E02004274,Bridport North,8.566735578148453,34.119300437226734,6404
E02004275,Burton Bradstock & Chideock,12.602305230664664,37.336130047194544,7628
E02004276,Bridport South & West Bay,10.549120670612558,39.62164073550212,5656
E02004278,Dorchester East,9.203930786440486,26.96067540546545,9002
E02004279,"Owermoigne, Broadmayne & Winterbourne",10.384186230919545,31.654072208228378,8337
E02004280,Chickerell & Chesil Bank,9.444648976239698,29.12909610732351,9094
E02004281,Broadwey & Littlemoor,6.8250686754835606,22.44871794871795,7800
E02004282,Preston & Lodmoor,10.478321203024551,40.956893562926155,8653
E02004283,Westham North & Radipole,9.310129987822492,28.516819571865444,9156
E02004284,"Weymouth Town, Melcombe Regis & Rodwell",5.947155277392314,27.706841067164955,9633
E02004285,Westham South,7.39146441618759,23.87314271444625,8009
E02004286,Weymouth West,7.462263883775594,27.831396493992514,5077
E02004287,Wyke Regis,7.816261221715613,26.817042606516292,5586
E02004288,Underhill & The Grove,5.805556342216306,19.381841596909208,6212
E02004289,Southwell & Weston,6.7967488884483584,26.79495686794957,7535
E02007006,Dorchester North,8.481068222366968,32.175249807840125,6505
E02007007,Poundbury & Dorchester West,9.628727591968508,26.40022516183507,7106
